Date;day;month;year;ISO;Country;Status
24/2/2020;24;2;2020;BGD;Bangladesh;Fully open
24/2/2020;24;2;2020;BGR;Bulgaria;Fully open
24/2/2020;24;2;2020;BHR;Bahrain;Fully open
24/2/2020;24;2;2020;BHS;Bahamas;Fully open
24/2/2020;24;2;2020;BIH;Bosnia and Herzegovina;Fully open
24/2/2020;24;2;2020;BLR;Belarus;Fully open
24/2/2020;24;2;2020;BLZ;Belize;Fully open
24/2/2020;24;2;2020;BMU;Bermuda;Fully open
24/2/2020;24;2;2020;BOL;Bolivia (Plurinational State of);Fully open
24/2/2020;24;2;2020;BRA;Brazil;Fully open
24/2/2020;24;2;2020;BRB;Barbados;Fully open
24/2/2020;24;2;2020;BRN;Brunei Darussalam;Fully open
24/2/2020;24;2;2020;BTN;Bhutan;Fully open
24/2/2020;24;2;2020;BWA;Botswana;Fully open
24/2/2020;24;2;2020;CAF;Central African republic;Fully open
24/2/2020;24;2;2020;CAN;Canada;Fully open
24/2/2020;24;2;2020;CHE;Switzerland;Fully open
24/2/2020;24;2;2020;CHL;Chile;Fully open
24/2/2020;24;2;2020;CHN;China;Closed due to COVID-19
24/2/2020;24;2;2020;CIV;Cote d'Ivoire;Fully open
24/2/2020;24;2;2020;CMR;Cameroon;Fully open
24/2/2020;24;2;2020;COD;Democratic Republic of the Congo;Fully open
24/2/2020;24;2;2020;COG;Congo;Fully open
24/2/2020;24;2;2020;COK;Cook Islands;Fully open
24/2/2020;24;2;2020;COL;Colombia;Fully open
24/2/2020;24;2;2020;COM;Comoros;Fully open
24/2/2020;24;2;2020;CPV;Cabo Verde;Fully open
24/2/2020;24;2;2020;CRI;Costa Rica;Fully open
24/2/2020;24;2;2020;CUB;Cuba;Fully open
24/2/2020;24;2;2020;CUW;Curaçao;Fully open
24/2/2020;24;2;2020;CYM;Cayman Islands;Fully open
24/2/2020;24;2;2020;CYP;Cyprus;Fully open
24/2/2020;24;2;2020;CZE;Czechia;Fully open
24/2/2020;24;2;2020;DEU;Germany;Fully open
24/2/2020;24;2;2020;DJI;Djibouti;Fully open
24/2/2020;24;2;2020;DMA;Dominica;Fully open
24/2/2020;24;2;2020;DNK;Denmark;Fully open
24/2/2020;24;2;2020;DOM;Dominican Republic;Fully open
24/2/2020;24;2;2020;DZA;Algeria;Fully open
24/2/2020;24;2;2020;ECU;Ecuador;Fully open
24/2/2020;24;2;2020;EGY;Egypt;Fully open
24/2/2020;24;2;2020;ERI;Eritrea;Fully open
24/2/2020;24;2;2020;ESP;Spain;Fully open
24/2/2020;24;2;2020;EST;Estonia;Fully open
24/2/2020;24;2;2020;ETH;Ethiopia;Fully open
24/2/2020;24;2;2020;FIN;Finland;Fully open
24/2/2020;24;2;2020;FJI;Fiji;Fully open
24/2/2020;24;2;2020;FRA;France;Fully open
24/2/2020;24;2;2020;FRO;Faroe Islands;Fully open
24/2/2020;24;2;2020;FSM;Micronesia (Federated States of);Fully open
24/2/2020;24;2;2020;GAB;Gabon;Fully open
24/2/2020;24;2;2020;GBR;United Kingdom of Great Britain and Northern Ireland;Fully open
24/2/2020;24;2;2020;GEO;Georgia;Fully open
24/2/2020;24;2;2020;GHA;Ghana;Fully open
24/2/2020;24;2;2020;GIB;Gibraltar;Fully open
24/2/2020;24;2;2020;GIN;Guinea;Fully open
24/2/2020;24;2;2020;GMB;Gambia;Fully open
24/2/2020;24;2;2020;GNB;Guinea-Bissau;Fully open
24/2/2020;24;2;2020;GNQ;Equatorial Guinea;Fully open
24/2/2020;24;2;2020;GRC;Greece;Fully open
24/2/2020;24;2;2020;GRD;Grenada;Fully open
24/2/2020;24;2;2020;GRL;Greenland;Fully open
24/2/2020;24;2;2020;GTM;Guatemala;Fully open
24/2/2020;24;2;2020;GUY;Guyana;Fully open
24/2/2020;24;2;2020;HND;Honduras;Fully open
